,live_alone,live_friends,live_partner,live_parents,live_siblings,live_otherfamily,live_children,live_other,housework_amount,living_category,housework_mapped,living_category_var_names,living_category_var_names_emojis
296,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
297,0,0,0,0,0,0,1,0,We share it equally,live_with_children_only,1,.. alone <br> with children,children 👶🧸
298,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
299,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
300,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
301,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
302,0,0,0,0,0,0,1,0,I take care of most of the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
303,0,0,1,0,0,1,1,0,I take care of all the housework,0,0,Other,Other 🦄
305,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
308,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
310,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
311,0,0,1,0,0,1,1,0,I take care of most of the housework,0,0,Other,Other 🦄
312,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
313,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
315,0,0,1,0,0,1,0,0,I take care of most of the housework,0,0,Other,Other 🦄
316,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
317,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
318,0,0,0,1,1,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
319,0,0,1,0,0,0,1,0,I do less housework than others,live_with_partner_and_children_only,2,... partner and children,partner and children 🧒👭👶
320,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
321,0,0,1,0,0,0,1,0,I take care of all the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
322,0,0,0,0,0,1,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
323,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
324,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
325,0,0,0,1,0,0,0,0,I take care of most of the housework,siblings_parent_other_family,0,...other <br> family members,Other Family 👴🙋🙎
326,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
327,0,0,1,0,0,0,1,0,I take care of most of the housework,live_with_partner_and_children_only,0,... partner and children,partner and children 🧒👭👶
328,0,1,0,0,0,0,0,0,We share it equally,friends_only,1,...friends,Friends 🎲🏘🍷
329,0,0,1,0,0,0,0,0,I take care of all the housework,live_with_partner_only,0,...their partner,a partner 💞
330,0,0,0,0,0,0,1,0,I take care of all the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
334,0,0,0,0,0,0,1,0,I take care of most of the housework,live_with_children_only,0,.. alone <br> with children,children 👶🧸
337,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
339,0,0,1,0,0,0,1,1,I take care of all the housework,0,0,Other,Other 🦄
341,0,0,1,0,0,0,1,0,We share it equally,live_with_partner_and_children_only,1,... partner and children,partner and children 🧒👭👶
342,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
345,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
346,0,0,0,1,0,0,0,0,I do less housework than others,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
347,0,0,0,1,1,0,0,0,I am not doing any housework,siblings_parent_other_family,2,...other <br> family members,Other Family 👴🙋🙎
350,0,0,1,1,0,0,1,0,I take care of all the housework,0,0,Other,Other 🦄
352,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
353,0,0,0,1,0,0,0,0,We share it equally,siblings_parent_other_family,1,...other <br> family members,Other Family 👴🙋🙎
354,0,0,1,0,0,0,0,0,We share it equally,live_with_partner_only,1,...their partner,a partner 💞
357,0,0,1,0,0,0,0,0,I take care of most of the housework,live_with_partner_only,0,...their partner,a partner 💞
